seed,slot,routine,f_in,samples,present,cov,v50,vis_frac,gluma
5900000,5,413,605,116,0,0.0000,0.000,0.0000,73.4
5900000,5,434,1185,130,0,0.0000,0.000,0.0000,88.5
5900000,5,426,1835,116,0,0.0000,0.000,0.0000,146.3
5900000,5,432,2415,162,110,0.0732,4.684,0.9818,75.5
5900000,3,495,2655,250,219,0.1051,5.324,0.9452,93.2
5900000,5,477,3225,179,154,0.1489,3.628,0.9026,106.9
5900000,2,538,3530,134,0,0.0032,1.092,0.0000,99.3
5900000,1,525,3435,269,250,0.1908,3.459,0.8880,76.8
5900000,5,541,4120,230,230,0.2079,3.716,0.9696,39.6
5900000,2,523,4665,202,191,0.0747,1.658,0.8901,43.2
5900000,5,26,5270,223,223,0.8915,0.646,0.1166,110.9
5900000,3,102,5385,217,212,0.9768,0.377,0.0000,121.5
5900000,5,489,6385,174,174,0.3776,6.803,0.9138,100.1
5900000,5,93,7255,60,60,0.4954,5.666,1.0000,28.1
5900000,1,601,5685,387,381,0.2642,5.693,0.9659,102.7
5900000,5,118,7555,48,48,0.2253,1.280,0.9167,26.4
5900000,5,53,7795,48,48,0.1870,1.379,1.0000,42.0
5900000,2,156,6910,259,246,0.1664,0.755,0.3780,44.5
5900000,5,491,8035,168,94,0.0770,0.810,0.6383,74.4
5900000,3,150,8525,275,265,0.1348,1.162,0.6340,94.0
5900000,5,69,8875,240,240,0.3965,1.228,0.7917,95.9
5900000,1,185,9220,164,153,0.2604,0.950,0.6732,95.2
5900000,2,141,9000,269,259,0.1934,0.976,0.5328,95.4
5900000,5,29,10075,165,125,0.1157,0.691,0.3280,111.8
5900000,5,417,10900,139,121,0.1568,0.683,0.2810,91.0
5900000,2,160,10485,211,199,0.0998,0.612,0.0754,104.6
5900000,5,46,11595,57,0,0.0000,0.009,0.0000,32.1
5900000,1,296,11075,282,165,0.0856,0.493,0.2364,62.7
5900000,3,555,11975,130,119,0.0540,1.554,0.8151,68.1
5900000,2,27,12240,167,157,0.5188,0.870,0.4650,69.8
5900000,5,87,11880,279,258,0.4629,1.599,0.6279,62.9
5900000,5,232,13275,53,53,0.5002,6.457,1.0000,41.2
5900000,1,54,12720,213,202,0.4771,3.310,0.8317,55.1
5900000,5,485,13540,172,156,0.2927,1.368,0.8397,72.4
5900000,2,89,13820,246,235,0.3120,1.432,0.8170,68.2
5900000,3,594,14435,178,167,0.0614,3.372,0.8623,59.3
5900000,5,43,14400,270,270,0.3719,4.249,0.9630,50.3
5900000,5,294,15750,52,51,0.3608,5.681,0.9608,25.5
5900000,1,497,14570,351,337,0.2540,5.265,0.9258,47.0
5900000,5,427,16010,178,175,0.2941,1.775,0.7029,80.2
5900000,3,175,16120,200,191,0.2537,1.510,0.7120,84.8
5900000,2,168,16300,203,91,0.1593,0.863,0.5275,93.3
5900000,1,603,17215,158,153,0.3186,4.349,0.9150,141.4
5900000,5,436,16900,221,221,0.3935,3.523,0.8869,129.1
