seed,slot,routine,f_in,samples,present,cov,v50,vis_frac,gluma
8100000,5,466,605,103,103,0.2033,1.800,0.9223,141.5
8100000,1,74,605,211,190,0.1576,1.660,0.8579,120.7
8100000,5,482,1120,181,87,0.0680,0.911,0.7816,76.7
8100000,5,90,2025,244,226,0.3076,3.741,0.9912,38.0
8100000,3,572,2470,171,81,0.0200,1.774,1.0000,42.3
8100000,1,202,2075,258,239,0.1559,5.085,0.9791,41.6
8100000,2,32,2375,399,216,0.1739,0.913,0.6481,70.8
8100000,5,40,3245,266,160,0.2175,2.086,0.9125,95.8
8100000,5,9,4575,72,47,0.0409,0.600,0.2766,140.9
8100000,1,119,3675,275,196,0.1438,2.158,0.7602,108.3
8100000,3,159,5045,194,0,0.0008,0.094,0.0000,136.0
8100000,5,183,4935,317,240,0.3199,0.801,0.2667,125.2
8100000,1,231,5215,318,261,0.2930,0.901,0.2950,114.3
8100000,2,76,5410,323,284,0.0723,1.635,0.5423,104.8
8100000,5,444,6520,160,89,0.0588,1.910,1.0000,75.2
8100000,5,449,7320,142,96,0.0564,0.876,0.3958,87.4
8100000,3,102,6805,263,98,0.0343,0.607,0.5510,80.8
8100000,1,224,7655,185,121,0.1084,2.249,0.9008,63.1
8100000,2,135,8195,256,242,0.7833,0.775,0.2810,73.4
8100000,5,38,8030,336,336,0.6553,1.234,0.3720,72.9
8100000,3,617,8960,160,150,0.1314,0.214,0.0000,91.0
8100000,5,452,9710,113,95,0.1780,0.637,0.3053,104.3
8100000,5,380,10275,156,148,0.4117,0.541,0.0000,88.1
8100000,2,189,9980,213,200,0.3751,0.412,0.0000,93.3
8100000,1,148,9775,363,150,0.0196,1.785,0.9267,93.0
8100000,5,451,11055,129,67,0.0927,1.416,0.9552,84.8
8100000,3,556,11315,178,159,0.1210,1.621,0.9686,64.4
8100000,5,44,11700,255,191,0.1023,1.469,0.9058,68.1
8100000,2,577,12020,184,36,0.0127,1.920,1.0000,71.3
8100000,1,329,11855,246,130,0.0598,0.782,0.8462,72.3
8100000,5,69,12975,260,214,0.1141,1.279,0.8318,85.9
8100000,5,297,14275,73,73,0.4947,1.910,0.7123,36.5
8100000,3,78,13735,190,162,0.2442,0.689,0.2963,56.0
8100000,5,53,14640,48,48,0.0618,4.376,1.0000,65.1
8100000,2,163,13125,399,345,0.0636,2.220,0.9449,76.3
8100000,5,24,14880,193,52,0.0469,0.455,0.7115,130.0
8100000,3,188,15190,186,46,0.0117,0.252,0.0000,145.8
8100000,5,456,15845,97,97,0.3165,2.175,0.9588,143.8
8100000,1,323,15390,202,146,0.1736,1.317,0.8082,141.4
8100000,2,179,15880,226,181,0.0482,2.255,1.0000,115.1
8100000,5,454,16330,166,166,0.4297,1.513,0.3675,93.7
8100000,5,241,17160,94,85,0.5456,0.594,0.0353,36.7
8100000,1,218,16630,199,187,0.5854,0.462,0.0160,64.7
8100000,5,330,17630,48,0,0.0000,0.000,0.0000,74.6
8100000,2,530,17895,22,8,0.0125,0.863,0.8750,151.8
8100000,5,368,17870,27,8,0.0102,0.703,0.8750,150.2
