event,frame,slot,routine,name,role,cls,blend,peak,life,mood,span,off,wild,hrot,tz,tx,ty,tr,schemeA,schemeB,leg
spawn,1700000,0,452,429 soft argyle,0,0,0,256,723,2,17000,22907,0,0,1.0504,0.0000,0.0000,4.3883,172,33,1660
spawn,1700340,2,151,128 aggregate bloom,3,0,2,109,393,2,17000,6940,167,0,1.6481,-0.1024,-0.2388,3.7899,172,33,1660
spawn,1700379,1,598,575 matrix slow mutation,2,0,2,109,1459,2,17000,14296,39,2,0.5786,-0.1729,0.2929,2.6928,172,33,1660
spawn,1700555,3,170,147 tesseract drift,3,0,2,93,811,2,7429,31230,0,0,1.3710,0.1941,0.0741,5.2859,172,33,1660
spawn,1700815,4,106,083 patch quilt,0,0,0,256,1293,1,17000,11297,0,0,1.3266,0.0000,0.0000,4.9867,172,33,1660
spawn,1701560,2,212,189 reiter crystal,3,0,1,100,695,1,14062,22713,0,0,0.8537,0.1424,-0.0553,1.9947,33,42,1661
spawn,1702223,4,373,350 fog banks,0,0,0,256,833,0,17000,295,0,0,1.2066,0.0000,0.0000,4.3883,42,105,1662
spawn,1702716,1,147,124 poincare web,2,0,1,140,978,0,11031,17436,0,0,2.0443,0.2035,0.0647,2.8923,42,105,1662
spawn,1703097,4,261,238 vortex sheet,1,0,0,256,1085,1,17000,8809,0,0,1.0356,0.0000,0.0000,3.1915,105,120,1663
spawn,1703414,2,174,151 chladni filaments,2,0,1,110,1249,1,10937,28263,0,2,2.2044,0.1071,0.1165,4.6875,105,120,1663
spawn,1703652,4,380,357 twilight glow,0,0,0,256,794,2,17000,21242,0,0,1.3167,0.0000,0.0000,5.2859,105,120,1663
spawn,1704012,3,529,506 ground strike,3,0,2,73,555,2,9726,5456,0,0,0.8455,-0.1847,-0.2859,2.4933,120,156,1664
spawn,1704319,1,225,202 silk veil,1,0,1,140,719,2,17000,12666,0,0,1.5988,0.0294,-0.3000,1.8949,120,156,1664
spawn,1704472,4,425,402 anodized sheen,0,0,0,256,637,2,17000,16677,0,0,1.2830,0.0000,0.0000,0.7979,120,156,1664
spawn,1705097,3,27,004 mirror truchet,2,0,1,79,420,2,11343,690,151,1,2.4446,-0.2271,0.0553,2.5931,156,88,1665
spawn,1705118,4,421,398 broken plates,0,0,0,256,775,0,16789,25684,0,0,1.2205,0.0000,0.0000,1.2965,156,88,1665
spawn,1705540,2,185,162 orbital lobes,2,0,1,123,467,0,6714,15567,0,0,0.7613,0.2153,-0.2271,4.1888,156,88,1665
spawn,1705773,1,191,168 schotter drift,2,0,1,166,492,0,10000,8323,169,0,2.3584,0.1918,0.0271,3.9893,156,88,1665
spawn,1705968,4,237,214 jelly bells,0,0,0,256,1545,1,17000,55,0,0,1.0471,0.0000,0.0000,4.9867,156,88,1665
spawn,1706571,3,98,075 coral lace,3,0,1,93,613,1,5859,16146,69,0,1.6522,0.2224,-0.2647,0.6981,88,152,1666
spawn,1706792,2,525,502 thunder cell,2,0,1,140,1336,1,14781,28337,0,0,2.3543,0.1400,0.1588,0.8976,88,152,1666
spawn,1707357,1,253,230 nebula wisps,1,0,1,168,1158,1,17000,6670,88,0,2.2270,-0.1235,0.1282,4.2885,152,41,1667
spawn,1707512,4,247,224 fish scales,1,0,0,256,1261,1,17000,10657,0,0,1.0660,0.0000,0.0000,2.4933,152,41,1667
