rt,kind,role,cls,dark,luma,sat,delta,cost_ms,probed
0,asm,GROUND,pure,34,25,89,1.285,8.238,1
1,asm,GROUND,pure,23,27,90,1.797,7.168,1
2,asm,GROUND,pure,0,173,173,2.961,8.445,1
3,asm,GROUND,pure,16,53,83,5.609,6.832,1
4,asm,GROUND,pure,16,53,83,9.547,9.715,1
5,asm,GROUND,pure,12,92,82,5.203,6.965,1
6,asm,GROUND,pure,0,32,93,1.035,2.883,1
7,asm,GROUND,pure,0,33,93,1.074,22.047,1
8,asm,GROUND,pure,0,118,132,1.543,6.117,1
9,asm,GROUND,pure,0,33,91,1.859,4.629,1
10,asm,GROUND,pure,0,31,91,1.836,16.289,1
11,asm,GROUND,pure,0,113,126,2.953,4.465,1
12,asm,GROUND,pure,0,67,90,1.500,5.402,1
13,asm,GROUND,pure,0,72,94,1.867,24.000,1
14,asm,GROUND,pure,0,129,138,2.000,7.793,1
15,asm,GROUND,canvas,226,27,15,0.609,0.098,1
16,asm,GROUND,canvas,202,41,21,1.172,0.098,1
17,asm,GROUND,canvas,0,212,18,0.848,0.098,1
18,asm,GROUND,canvas,139,82,38,2.617,0.098,1
19,asm,GROUND,canvas,0,94,57,2.723,0.098,1
20,asm,GROUND,canvas,0,152,27,3.062,0.098,1
21,asm,GROUND,canvas,209,22,17,0.574,0.098,1
22,asm,GROUND,canvas,14,117,126,15.598,0.098,1
23,asm,GROUND,canvas,0,60,117,0.129,0.098,1
24,pattern,GROUND,pure,0,196,193,0.617,2.086,1
25,pattern,GROUND,pure,0,86,113,0.531,1.945,1
26,pattern,GROUND,pure,0,78,107,0.691,2.754,1
27,pattern,FIGURE,pure,71,17,83,0.098,2.715,1
28,pattern,GROUND,pure,0,186,186,1.035,1.742,1
29,pattern,GROUND,pure,0,184,186,0.316,3.266,1
30,pattern,GROUND,pure,0,167,173,0.234,1.762,1
31,pattern,GROUND,pure,0,172,176,0.230,6.910,1
32,pattern,FIGURE,pure,165,29,36,1.594,3.562,1
33,pattern,FIELD,pure,4,30,97,0.285,2.184,1
34,pattern,FIELD,pure,114,50,35,0.316,3.809,1
35,pattern,GROUND,pure,0,157,118,3.656,4.086,1
36,pattern,GROUND,pure,12,106,29,3.199,1.660,1
37,pattern,GROUND,pure,32,83,93,3.148,1.012,1
38,pattern,FIELD,pure,40,54,39,1.074,2.547,1
39,pattern,FIGURE,pure,185,32,8,1.312,2.715,1
40,pattern,FIELD,pure,0,45,81,1.254,3.031,1
41,pattern,GROUND,pure,35,61,57,4.109,2.809,1
42,pattern,GROUND,pure,2,91,73,4.719,3.305,1
43,pattern,GROUND,pure,0,99,38,0.688,1.918,1
44,pattern,FIELD,pure,20,52,65,3.812,12.211,1
45,pattern,GROUND,pure,4,80,119,5.117,1.457,1
46,pattern,GROUND,pure,0,84,94,1.348,3.820,1
47,pattern,GROUND,pure,31,93,62,2.336,0.352,1
48,pattern,GROUND,pure,0,77,87,0.750,3.801,1
49,pattern,FIELD,pure,57,49,37,1.492,3.289,1
50,pattern,GROUND,pure,0,109,113,2.410,9.543,1
51,pattern,FIELD,pure,59,65,80,1.918,6.168,1
52,pattern,FIELD,pure,0,42,52,0.586,1.859,1
53,pattern,GROUND,pure,0,73,23,2.336,2.332,1
54,pattern,FIGURE,pure,137,25,45,0.391,1.645,1
