pat  cover  s0    s12   s33   s59   s75   s100   minSig
001  1.000   26.3   1.8   8.5   7.1  22.5   9.6     1.8
002  1.000   52.2  32.2   8.7   8.3   1.8  10.7     1.8
003  1.000   49.1  45.4  10.1  13.9   2.2  17.3     2.2
004  0.772    5.6   9.0   6.3  16.1   1.3  15.1     1.3
005  1.000   36.8   4.6  11.3   7.9  52.3  11.6     4.6
006  1.000   35.7   6.5  14.8  12.0  71.9  13.3     6.5
007  1.000   34.2   6.5  15.3  13.1  69.4  13.4     6.5
008  1.000   34.7   5.0  11.8   8.7  56.1  11.6     5.0
009  0.443   58.1  74.2  26.6  49.7  28.8  46.3    26.6
010  0.989   14.7  25.9   2.2  15.4   1.4  15.8     1.4
011  0.897   40.0  48.1  46.0  49.7  63.2  47.3    40.0
012  0.979   54.2  76.6  17.8  42.2  15.1  46.0    15.1
013  0.945   52.9  33.7  34.2  24.6  56.8  25.4    24.6
014  0.577   66.4  80.5  57.5  70.1  82.9  69.9    57.5
015  0.709   48.0  41.4  25.9  31.6  54.5  26.9    25.9
016  0.265   65.7  38.4  36.0  57.7  80.2  20.8    20.8
017  0.981   14.9  15.4  15.4  15.2  14.4  16.1    14.4
018  0.926   33.3  39.9  34.4  34.9  53.2  33.6    33.3
019  1.000   54.9  55.3  56.9  54.7  91.0  59.3    54.7
020  0.997   36.9  59.1  26.4  33.9  54.0  56.9    26.4
021  0.891   53.3  50.6  13.7  30.2   2.8  26.7     2.8
022  0.959   63.5  82.7  17.8  43.7   4.7  46.9     4.7
023  1.000   38.2  34.9  33.0  39.2  66.6  31.7    31.7
024  0.930   55.3  29.4  39.2  35.4  68.8  34.8    29.4
025  1.000   33.5  33.5  40.4  46.2  42.1  36.5    33.5
026  0.812   39.7  39.0  31.7  35.9  49.0  33.3    31.7
027  0.916   33.5  56.5  10.5  25.9   2.8  25.2     2.8
028  0.721   58.9  84.4  35.1  59.3  46.3  58.2    35.1
029  0.969   37.0  36.3  29.9  35.6  45.2  28.6    28.6
030  1.000   38.1  23.1  22.4  26.4  41.1  15.3    15.3
031  0.293   24.1  20.0  28.7  19.7  25.2  42.5    19.7
032  0.473   27.3  28.6  22.0  30.3  39.1  28.6    22.0
033  0.370   26.3  26.2  22.6  23.3  35.5  27.6    22.6
034  0.223   10.1  17.1  17.1  17.1  15.6  25.9    10.1
035  0.490   30.6  30.5  28.9  31.8  42.0  34.2    28.9
036  0.438   29.7  28.2  27.1  28.1  37.0  26.0    26.0
037  0.433   25.8  23.9  22.4  25.2  33.5  34.8    22.4
038  0.314   18.4  18.5  18.5  19.1  24.3  18.8    18.4
039  0.168   17.6  16.6  16.1  17.4  23.8  21.6    16.1
040  0.399   23.9  21.7  24.4  19.5  23.9  34.3    19.5
041  1.000   61.3  57.8  56.4  54.4  94.0  59.6    54.4
042  0.339    8.2  19.7   3.9  14.2   3.4  15.0     3.4
043  0.741   25.1  36.2  24.2  36.0  22.1  29.7    22.1
044  0.956   74.0  32.9  38.4  55.9 108.3  18.8    18.8
045  0.564   68.2  74.8  69.8  74.1  67.1  67.3    67.1
046  1.000   31.1  58.9  48.5  30.7  79.5  41.8    30.7
047  0.433    6.2   3.9   5.2  10.4   0.7   7.4     0.7
048  0.940   31.4  33.1  25.5  29.7  26.5  23.4    23.4
049  0.949   62.7  60.9  53.2  58.3  87.4  56.7    53.2
050  0.743   57.8  80.3  21.3  46.9  18.2  47.8    18.2
051  0.815   56.6  63.9  52.6  56.2  70.5  64.9    52.6
052  0.083   23.4  25.3  23.6  25.0  25.8  26.0    23.4
053  0.111   30.5  32.3  30.1  31.6  33.6  32.6    30.1
054  0.181   23.1  24.1  22.8  23.7  24.6  24.1    22.8
055  0.084   19.4  20.7  19.0  20.9  20.3  20.1    19.0
056  0.117   36.6  38.4  36.2  37.8  39.7  38.6    36.2
057  0.123   25.6  26.7  24.9  26.2  27.6  26.7    24.9
058  0.253   35.0  37.4  34.9  36.7  39.6  38.2    34.9
059  0.029   16.9  18.0  16.3  17.4  17.8  18.1    16.3
060  0.112   15.0  16.3  15.0  15.9  16.3  15.9    15.0
061  0.908   39.0  34.1  34.3  31.1  51.0  32.7    31.1
062  0.820   41.2  22.3  15.9  19.4  26.2  17.5    15.9
063  0.999   22.8  43.4  36.2  45.0  39.8  38.6    22.8
064  0.834   46.4  37.2  41.8  34.7  62.3  35.0    34.7
065  1.000   11.9  41.3  34.8  46.9  41.9  37.5    11.9
066  0.512   18.1  31.0  11.0  24.0   8.0  20.6     8.0
067  0.895   35.7  34.5  31.1  30.9  44.9  31.5    30.9
068  0.820   48.8  50.3  51.7  48.7  69.5  47.3    47.3
069  0.535   32.9  49.1  28.3  39.0  29.3  36.9    28.3
070  0.961   38.3  46.4  46.0  45.9  61.1  44.2    38.3
071  0.216   23.5  27.8  17.4  22.4   8.6  21.0     8.6
072  0.873   34.1  42.4  26.0  32.5  12.7  37.4    12.7
073  0.183   14.8  18.4  14.9  19.2  11.8  14.3    11.8
074  0.077   33.1  32.3  31.8  32.7  35.1  31.8    31.8
075  0.215   40.8  43.2  37.2  40.7  41.9  41.6    37.2
076  0.819   24.4  28.4  22.6  24.8  26.1  27.3    22.6
077  0.445   17.0  20.3  16.1  20.8  30.7  31.0    16.1
078  1.000   35.1  51.4  55.1  30.3  59.5  31.5    30.3
079  0.226   30.3  30.2  27.5  30.6  43.1  34.2    27.5
080  0.240   19.8  22.4  19.9  22.1  34.9  27.0    19.8
081  0.181   55.0  55.5  51.3  54.8  62.3  55.1    51.3
082  1.000   75.8  51.5  74.3  58.0 103.5  84.5    51.5
083  0.873   59.5  61.5  61.1  64.1  75.6  63.8    59.5
084  1.000   42.5  59.6  33.7  37.9  31.9  57.1    31.9
085  0.620   69.4  75.6  56.1  62.2  61.1  85.1    56.1
086  0.594   32.1  34.2  29.2  31.6  32.4  32.1    29.2
087  1.000   45.0  47.5  45.6  49.5  54.7  52.9    45.0
088  0.949   70.3  75.5  71.5  74.0  86.1  76.3    70.3
089  1.000   52.0  47.9  42.4  41.6  69.8  48.6    41.6
090  0.275   60.7  63.4  56.3  60.9  67.7  66.7    56.3
091  0.369   63.5  64.3  59.4  62.8  71.2  66.0    59.4
092  1.000   52.3  39.8  57.5  54.4  95.4  36.4    36.4
093  0.426   42.4  41.9  41.3  42.4  41.7  41.8    41.3
094  1.000   57.0  57.0  57.0  57.0  57.0  57.0    57.0
095  0.607   41.7  41.8  41.3  41.9  41.6  40.4    40.4
096  0.593   62.2  61.3  60.3  62.1  60.8  61.3    60.3
097  1.000   21.6  32.9  37.9  41.0  46.2  51.7    21.6
098  1.000   49.6  49.2  48.2  49.8  49.0  48.9    48.2
